file,average_score,average_time,solution,nodes,edges
Instances/Set_66_234/p5.2.a.txt,50.0,1.1259474754333496,"[[(10, 14), (8, 13), (11, 12), (11, 14)], [(10, 14), (8, 17), (10, 18), (11, 14)]]",32,496
Instances/Set_21_234/p2.4.d.txt,125.0,1.7272131443023682,"[[(0, 1), (1, 2), (3, 4), (3, 6), (2, 7), (0, 7)], [(0, 1), (1, 0), (2, 1), (2, 3), (2, 5), (0, 7)]]",32,496
Instances/Set_21_234/p2.3.k.txt,125.0,1.7279304265975952,"[[(0, 1), (1, 2), (3, 4), (3, 6), (2, 7), (0, 7)], [(0, 1), (1, 0), (2, 1), (2, 3), (2, 5), (1, 6), (0, 7)]]",32,496
Instances/Set_102_234/p7.4.s.txt,30.0,21.261528372764587,"[[(19, 24), (21, 27), (21, 25), (18, 25), (18, 24)], [(19, 24), (18, 26), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_32_234/p1.2.n.txt,30.0,2.5186893939971924,"[[(19, 24), (21, 25), (21, 27), (18, 25), (18, 24)], [(19, 24), (18, 26), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_66_234/p5.3.t.txt,50.0,1.1501307487487793,"[[(4, 7), (3, 9), (4, 8), (5, 8), (5, 6), (6, 5), (5, 5)], [(4, 7), (6, 7), (7, 8), (8, 9), (5, 5)]]",21,210
Instances/Set_32_234/p1.2.q.txt,30.0,2.503702402114868,"[[(4, 7), (7, 8), (8, 9), (5, 5)], [(4, 7), (3, 9), (4, 8), (5, 8), (6, 7), (5, 6), (6, 5), (5, 5)]]",21,210
Instances/Set_32_234/p1.3.g.txt,30.0,2.461726665496826,"[[(19, 24), (21, 25), (21, 27), (18, 26), (18, 25), (18, 24)], [(19, 24), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_66_234/p5.2.z.txt,50.0,1.108072280883789,"[[(19, 24), (21, 27), (21, 25), (18, 25), (18, 24)], [(19, 24), (18, 26), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_33_234/p3.3.g.txt,120.0,2.732936382293701,"[[(0, 0), (1, 3), (0, 0)], [(0, 0), (1, 1), (3, 3), (3, 1), (0, 0)]]",17,136
